+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                               ;
+-----------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                           ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; WHEEL_CONTROLLER_4|PI_CONTROLLER_U0                 ; 18    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_4|ERROR_CALCULATOR                 ; 34    ; 1              ; 0            ; 1              ; 17     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_4|CONV_RAD2RPM                     ; 34    ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_4|REGGENERAL_U0                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_4|CONV_PUL2RPM                     ; 64    ; 56             ; 0            ; 56             ; 32     ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_4|ENCODER_U0                       ; 4     ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_4|COUNTER_TICK_167ms_U0            ; 4     ; 2              ; 0            ; 2              ; 1      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_4|DIRECTION_MOTOR_U0               ; 32    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_4                                  ; 36    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|REGGENERAL_U1                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|CONV_RPM2RAD                     ; 64    ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|PWM_GENERATOR|contador           ; 12    ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|PWM_GENERATOR                    ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|PREESCALER_82us                  ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|PI_CONTROLLER_U0|second_add      ; 64    ; 37             ; 0            ; 37             ; 32     ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|PI_CONTROLLER_U0|first_add       ; 34    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|PI_CONTROLLER_U0|MULT_KI_ERRORK1 ; 34    ; 18             ; 0            ; 18             ; 18     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|PI_CONTROLLER_U0|MULT_KP_ERRORK  ; 34    ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|PI_CONTROLLER_U0                 ; 18    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|ERROR_CALCULATOR                 ; 34    ; 1              ; 0            ; 1              ; 17     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|CONV_RAD2RPM                     ; 34    ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|REGGENERAL_U0                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|CONV_PUL2RPM                     ; 64    ; 56             ; 0            ; 56             ; 32     ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|ENCODER_U0                       ; 4     ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|COUNTER_TICK_167ms_U0            ; 4     ; 2              ; 0            ; 2              ; 1      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3|DIRECTION_MOTOR_U0               ; 32    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_3                                  ; 36    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|REGGENERAL_U1                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|CONV_RPM2RAD                     ; 64    ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|PWM_GENERATOR|contador           ; 12    ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|PWM_GENERATOR                    ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|PREESCALER_82us                  ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|PI_CONTROLLER_U0|second_add      ; 64    ; 37             ; 0            ; 37             ; 32     ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|PI_CONTROLLER_U0|first_add       ; 34    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|PI_CONTROLLER_U0|MULT_KI_ERRORK1 ; 34    ; 18             ; 0            ; 18             ; 18     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|PI_CONTROLLER_U0|MULT_KP_ERRORK  ; 34    ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|PI_CONTROLLER_U0                 ; 18    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|ERROR_CALCULATOR                 ; 34    ; 1              ; 0            ; 1              ; 17     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|CONV_RAD2RPM                     ; 34    ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|REGGENERAL_U0                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|CONV_PUL2RPM                     ; 64    ; 56             ; 0            ; 56             ; 32     ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|ENCODER_U0                       ; 4     ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|COUNTER_TICK_167ms_U0            ; 4     ; 2              ; 0            ; 2              ; 1      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2|DIRECTION_MOTOR_U0               ; 32    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_2                                  ; 36    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|REGGENERAL_U1                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|CONV_RPM2RAD                     ; 64    ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|PWM_GENERATOR|contador           ; 12    ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|PWM_GENERATOR                    ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|PREESCALER_82us                  ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|PI_CONTROLLER_U0|second_add      ; 64    ; 37             ; 0            ; 37             ; 32     ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|PI_CONTROLLER_U0|first_add       ; 34    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|PI_CONTROLLER_U0|MULT_KI_ERRORK1 ; 34    ; 18             ; 0            ; 18             ; 18     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|PI_CONTROLLER_U0|MULT_KP_ERRORK  ; 34    ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|PI_CONTROLLER_U0                 ; 18    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|ERROR_CALCULATOR                 ; 34    ; 1              ; 0            ; 1              ; 17     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|CONV_RAD2RPM                     ; 34    ; 17             ; 0            ; 17             ; 17     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|REGGENERAL_U0                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|CONV_PUL2RPM                     ; 64    ; 56             ; 0            ; 56             ; 32     ; 56              ; 56            ; 56              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|ENCODER_U0                       ; 4     ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|COUNTER_TICK_167ms_U0            ; 4     ; 2              ; 0            ; 2              ; 1      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1|DIRECTION_MOTOR_U0               ; 32    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WHEEL_CONTROLLER_1                                  ; 36    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|w4_reg_u1                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qmult_w4_second              ; 66    ; 32             ; 0            ; 32             ; 33     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qadd_w4_second               ; 64    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|w4_reg_u0                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qmult_w4_first               ; 66    ; 32             ; 0            ; 32             ; 33     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qadd_w4_first                ; 64    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|w3_reg_u1                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qmult_w3_second              ; 66    ; 32             ; 0            ; 32             ; 33     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qadd_w3_second               ; 64    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|w3_reg_u0                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qmult_w3_first               ; 66    ; 32             ; 0            ; 32             ; 33     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qadd_w3_first                ; 64    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|w2_reg_u1                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qmult_w2_second              ; 66    ; 32             ; 0            ; 32             ; 33     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qadd_w2_second               ; 64    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|w2_reg_u0                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qmult_w2_first               ; 66    ; 32             ; 0            ; 32             ; 33     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qadd_w2_first                ; 64    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|w1_reg_u1                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qmult_w1_second              ; 66    ; 32             ; 0            ; 32             ; 33     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qadd_w1_second               ; 64    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|w1_reg_u0                    ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qmult_w1_first               ; 66    ; 32             ; 0            ; 32             ; 33     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|qadd_w1_first                ; 64    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0|STATEMACHINE_u0              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MOVEMENT_CONTROLLER_U0                              ; 98    ; 0              ; 0            ; 0              ; 128    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CC_MUX81_U0                                         ; 771   ; 768            ; 0            ; 768            ; 96     ; 768             ; 768           ; 768             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SENSOR_4                                            ; 3     ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SENSOR_3                                            ; 3     ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SENSOR_2                                            ; 3     ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SENSOR_1                                            ; 3     ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SPI_INTERFACE_U0|MESSAGE_INT_U0                     ; 371   ; 0              ; 241          ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SPI_INTERFACE_U0|SPI_U0                             ; 13    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SPI_INTERFACE_U0                                    ; 365   ; 200            ; 0            ; 200            ; 6      ; 200             ; 200           ; 200             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+-----------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
